Promoter|推广员
MyPromoter|我的推广
MyPlayers|我的玩家
MyAgent|我的代理
AgentRule|代理规则
MemberInfo|成员信息
MemberNum|成员数量
TotalGongXianInfo|贡献总览
RecevieRecord|领取记录
DirectPlayersNum|直属玩家数量
DirectAgentNum|直属代理数量
NotReceiveHourReward|可领取时奖励
NotReceiveWeekReward|可领取周奖励
BtnReceiveHourReward|领取时奖
BtnReceiveWeekReward|领取周奖
ThisWeekGongXian|本周贡献
DirectPlayers|直属玩家
1Agent|1级代理
2Agent|2级代理
3Agent|3级代理
PreRewardAward|预返奖
Announcement|公告
BtnEdit|编辑
BtnCopy|复制链接
InviteFriends|邀请好友
Icon|头像
NickName|昵称
Type|类型
Status|状态
Operate|操作
LastWeekGongXian|上周贡献
YestodayGongXian|昨日贡献
CurrentGongXian|当前贡献
DirectPlayersTotalGongXian|直属玩家总贡献
DirectAgentTotalGongXian|直属代理总贡献
2AgentTotalGongXian|2级代理总贡献
3AgentTotalGongXian|3级代理总贡献
WeekRebate|返利类型
Amount|金额
ReceiveTime|领取时间
ReceiveWeekRebate|领取周返利
TotalGongXian|总贡献
ReturnRate|返奖比
PromotionPlayerNum|发展人数
DirectGongXian|直属贡献
2AgentGongXian|二级贡献
3AgentGongXian|三级贡献
PresidentNickname|会长昵称
DailyReward|每日返利
WeekReward|每周返利
HourReward|每时返利
MonthReward|每月返利
ReceiveSuccess|领取成功
RewardExpired|奖励过期了
RewardReceived|奖励已经被领取了
IllegalReceive|非法操作，没有找到该奖励
QRCode|推广二维码:
BtnSaveQRCode|保存到本地
