Promoter|推广员
MyPromoter|我的推广
MyAgent|我是代理
MyPlayer|玩家社区
MyClub|代理社区
AgentRule|代理规则
MemberInfo|成员贡献
MemberNum|成员数量
TotalGongXianInfo|贡献列表
RecevieRecord|领取记录
PlayersNum|玩家数量
RankTaxs|贡献排名:
Players|直属玩家
PreRewardAward|预返奖
Announcement|公告
AnnouncementTip|请输入公告
BtnEdit|编辑
BtnCopy|复制
BtnSaveQRCode|保存到本地
InviteFriends|邀请好友
Icon|头像
NickName|昵称
Type|类型
Status|状态
Operate|领取
Details|详情
RewardType|奖励类型
Date|日期
Op|操作
Amount|金额
Reward|返利金额
ReceiveTime|领取时间
ReceiveWeekRebate|领取周返利
TotalGongXian|总贡献
ReturnRate|返奖比
PresidentNickname|会长昵称
RewardList|返水列表
ApplyTime|申请时间
PhoneNum|手机号
Email|邮箱
Tip|注:最近15天的每日总贡献额
QRCode|推广二维码:
TxtPlayerId|请输入玩家ID
BtnSearch|搜索
BtnReceive|领取
Player|玩家
President|会长
BtnApplyAgent|申请代理
BtnCancelApplyAgent|取消申请
Top100|前100名
DailyReward|每日返利
WeekReward|每周返利
HourReward|每时返利
MonthReward|每月返利
ReceiveSuccess|领取成功
RewardExpired|奖励过期了
RewardReceived|奖励已经被领取了
IllegalReceive|非法操作，没有找到该奖励
