QuickChat1|破他!破他!破他!
QuickChat2|111111
QuickChat3|222222
QuickChat4|333333
QuickChat5|444444
QuickChat6|分少就下庄，别赖在上面了!
QuickChat7|系统吐币了，赶快压啊!
QuickChat8|系统开吃了，大家要谨慎!
QuickChat9|前方高能，要通杀了!!
QuickChat10|求破，求压满!
QuickChat11|搏一搏，单车变摩托!
QuickChat12|手气好，怪我咯!
QuickChat13|一把回到解放前啊!
QuickChat14|输光了，洗洗睡了!
QuickChat15|快点行动吧，时间宝贵!
QuickChat16|各位爷，让看看牌再加钱吧!
QuickChat17|我的宝剑已经饥渴难耐了!
QuickChat18|莫偷鸡，偷鸡必被抓
QuickChat19|你牌技这么好，地球人知道吗？
QuickChat20|冲动是魔鬼，冷静
QuickChat21|很高兴和大家一起打牌
QuickChat22|打诚信德州，不偷不抢
QuickChat23|这手牌打的不错，赢的漂亮
QuickChat24|青山不改绿水长流，改日再战
QuickChat25|冤家牌，没办法
QuickChat26|嘿嘿，我又赢了，感谢大家
QuickChat27|你真是一个天生的演员
QuickChat28|有运气为什么要用技术
QuickChat29|自己造的池，含泪也要打完
QuickChat30|鸿运当头，也不及我神乎牌技
QuickChat31|莫愁前路无知己，中对就要跟到底
QuickChat32|别读我牌，读我后手
QuickChat33|卡顺达人，买花能手
QuickChat34|嗨，请多指教。
QuickChat35|嘿，我可是个老牛仔
QuickChat36|钱财于我，只是一个数字！
QuickChat37|敢再来一局吗？
QuickChat38|嘿，哥们打的不错啊。
QuickChat39|稳中求胜，步步为赢。
QuickChat40|你知道我来自迪拜吗？
QuickChat41|精灵之力指引着我。
QuickChat42|你们的筹码都是我的。
QuickChat43|酷是一种态度。
SendNoEmpty|不可以发送空消息
Btn_Send|发送
Text_QuickPhrase|快捷短语
Setting|设置
Current|当前
World|世界
InputChatContent|[color=#999999]输入聊天文字[/color]
