AverageScore|均筹
TotalRewardGold|总奖励
PlayerNumReward|奖励圈
RaiseBlindNext|下一局将升盲
RaiseBlindTm|升盲时间
WaitMatchBegine|等待开赛
MatchBegine|比赛即将开始，系统正在分配座位
ExitMatchTip|比赛中途离开，系统将自动帮您托管，您可在我的比赛中点击重新进入比赛。是否确认离开？
Btn_RebuyChip|重购筹码
Btn_AddonChip|增购筹码
Text_Pot:|底池:
Text_WaitGameBegin|等待开局中
Text_ReturnGame|继续
Btn_Fold|弃牌
Btn_CheckOrFold|跟或弃
Btn_CallAny|跟任何注
Btn_AddBet|加注
白手起家|白手起家
牛刀小试|牛刀小试
越战越勇|越战越勇
展露风骚|展露风骚
商业大亨|商业大亨
无可比拟|无可比拟
金融巨鳄|金融巨鳄
紫禁之巅|紫禁之巅
冠军王座|冠军王座
GuessHandCardDesc1|下局手牌[color=#cccc00]含A[/color]，获得投入的[color=#cccc00]6倍[/color]奖励
GuessHandCardDesc2|下局手牌[color=#cccc00]对子[/color]，获得投入的[color=#cccc00]15倍[/color]奖励
GuessHandCardDesc3|下局手牌[color=#cccc00]对A[/color]，获得投入的[color=#cccc00]200倍[/color]奖励
GuessHandCardTip1|猜手牌下注失败，带上桌后剩余筹码不足！
GuessHandCardTip2|恭喜猜手牌命中！赢取{0}筹码
GuessHandCardTip3|很遗憾猜手牌未命中！
Bet|投入
