Text_TextMatchExpectTime|1小时12分钟
Text_MatchTimeTip|预计比赛时长
Text_CreateMatch|创建赛事
Text_TextInputMatchName|一个比赛
Text_TextInputMatchExplain|赛事说明(可不填)
Text_TextInputMatchTime|开赛时间
Text_MaxJoinMatch|最高参赛人数
Text_TextTime|请设置开赛时间
Text_QuickMatch1|快速赛
Text_NormalMatch1|常规赛
Text_SlowMatch1|慢速赛
Text_QuickMatch2|快速赛
Text_NormalMatch2|常规赛
Text_SlowMatch2|慢速赛
Text_BlindTable|盲注表
Text_StartScoreBoard|起始记分牌
Text_StartBlind|起始盲注
Text_RiseBlindTime|涨盲时间
Text_SingleNumber|单桌人数
Text_SixPeople1|6人
Text_SixPeople2|6人
Text_NinePeople1|9人
Text_NinePeople2|9人
Text_ChooseTimeTitle|请设置比赛开始时间
Text_Hour|时
Text_Minute|分
Text_Day|日
Text_Month|月
Text_CurrentTime|当前时间:
Text_Confirm|确定
Text_AsOfRegLevel|截至报名级别
Text_RepurchaseTimes|重购次数
Text_AllowAddPurchases|允许增购  
Text_AddPurchasesNumber|增购筹码数
