Free|免费
People|人
Today|今天
MatchFee|报名费
SixSeat|6人桌
NineSeat|9人桌
Second|秒
OrangeRedEnvelopes|红包 
Chip|筹码
Enter|进入
WaitStart|[size=20][color=#4C87D9]等待开始[color][size]
SignUp|报名
CancelSignUp|取消报名
NotOpenYet|[size=20][color=#4C87D9]暂未开放[color][size]
SignUpDelay|延迟报名
SignUpDeadLine|报名截止
BeginNow|即将开始
Today|今天
Tomorrow|明天
AfterTomorrow|后天
QuitMatchTip|退赛将退还全部报名费(门票)和服务费。您确定退赛吗？
SignUpTip|您确认报名比赛？[size=17](消耗{0}+{1}德州币)[/size]
AllMatch|全部赛事
MyMatch|我的赛事
Text_NoMatchInfoTip1|还没有比赛，请等待官方通知~
Text_MatchInfomation|赛事信息
Text_Reward|奖励
Text_MatchBeginTime1|开赛时间
Text_EntryFee1|报名费
Text_NotSignUpMatchInfo|还未报名任何比赛，赶紧去报名吧!
Text_GotoSignUp|去报名
