People|人
Today|今天
MatchFee|报名费
SixSeat|6人桌
NineSeat|9人桌
Second|秒
OrangeRedEnvelopes|红包 
Chip|筹码
Enter|进入
FreeMatch|免费赛
WaitStart|[size=20][color=#4C87D9]等待开始[color][size]
SignUp|报名
CancelSignUp|取消报名
NotOpenYet|[size=20][color=#4C87D9]暂未开放[color][size]
SignUpDelay|延迟报名
SignUpDeadLine|报名截止
BeginNow|即将开始
Tomorrow|明天
AfterTomorrow|后天
QuitMatchTip|退赛将退还全部报名费(门票)和服务费。您确定退赛吗？
SignUpTip|您确认报名比赛？[size=17](消耗{0}+{1}德州币)[/size]
RebuyTip|可重购买比赛,次数: [color=#DDBB0E]{0}[/color]次 第[color=#DDBB0E]{1}[/color]个盲注级别可用[color=#DDBB0E]{2}[/color]兑换[color=#DDBB0E]{3}[/color]筹码
AddOnTip|可增购买比赛,次数: [color=#DDBB0E]{0}[/color]次 第[color=#DDBB0E]{1}[/color]个盲注级别可用[color=#DDBB0E]{2}[/color]兑换[color=#DDBB0E]{3}[/color]筹码
SnowBallMatchReward|保底奖励价值:[color=#CFB37A]{0}[/color]
SnowBallMatchTip|[size=22][color=#CFB37A]参赛人数越多，奖励人数越多，总奖励越高![/color][/size]
Text_Summary|概述
Text_SaiKuang|赛况
Text_MatchRank|排名
Text_Blind|盲注
Text_Reward|奖励
Text_EntryFee|报名费用:
Text_MatchBeginTime|开赛时间:
Text_StopSignUpTm|截止报名:
Text_NumberOfEntries|参赛人数:
Text_InitScore|初始记分牌:
Text_Rebuy|重购
Text_Addon|增购
Text_Share|分享
Text_SignUp|报名
Text_Rank|名次
Text_MasterPoint|大师分
Text_RewardNote|奖励说明
Text_CurrentMatchRank|当前排名
Text_NoMatchRankTip|暂无排名数据
Text_NumberOfEntries1|参赛人数
Text_RewardNum|奖励人数
Text_AverageChip|平均筹码
Text_MatchTm|比赛用时
Text_CurrentLevel1|当前级别
Text_Ante|前注
Text_NextLevel|下一级别
Text_CurrentLevel|当前级别:
Text_NoMatchInfoTip|暂无赛况数据
Text_MatchLevel|级别
Text_BlindnessTime|升盲时间
