Promoter|推廣員
MyPromoter|我的推廣
MyAgent|我是代理
MyPlayer|玩家社區
MyClub|代理社區
AgentRule|代理規則
MemberInfo|成員貢獻
MemberNum|成員數量
TotalGongXianInfo|貢獻列表
RecevieRecord|領取記錄
PlayersNum|玩家數量
RankTaxs|貢獻排名:
Players|直屬玩家
PreRewardAward|預返獎
Announcement|公告
AnnouncementTip|請輸入公告
BtnEdit|編輯
BtnCopy|複製
BtnSaveQRCode|保存到本地
InviteFriends|邀請好友
Icon|頭像
NickName|暱稱
Type|類型
Status|狀態
Operate|領取
Details|詳情
RewardType|獎勵類型
Date|日期
Op|操作
Amount|金額
Reward|返利金額
ReceiveTime|領取時間
ReceiveWeekRebate|領取周返利
TotalGongXian|總貢獻
ReturnRate|返獎比
PresidentNickname|會長暱稱
RewardList|返水列表
ApplyTime|申請時間
PhoneNum|手機號
Email|郵箱
Tip|注:最近15天的每日總貢獻額
QRCode|推廣二維碼:
TxtPlayerId|請輸入玩家ID
BtnSearch|搜索
BtnReceive|領取
Player|玩家
President|會長
BtnApplyAgent|申請代理
BtnCancelApplyAgent|取消申請
Top100|前100名
DailyReward|每日返利
WeekReward|每週返利
HourReward|每時返利
MonthReward|每月返利
ReceiveSuccess|領取成功
RewardExpired|獎勵過期了
RewardReceived|獎勵已經被領取了
IllegalReceive|非法操作，沒有找到該獎勵
