QuickChat1|破他!破他!破他!
QuickChat2|一直斷線~真煩
QuickChat3|慘了，按到加注
QuickChat4|快點吧！
QuickChat5|風水不好，換位子！
QuickChat6|分少就下莊，別賴在上面啦!
QuickChat7|系統吐幣了，趕快壓啊!
QuickChat8|系統開吃了，大家要謹慎!
QuickChat9|前方高能，要通殺了!!
QuickChat10|求破，求壓滿!
QuickChat11|我牌很好你信不信阿~
QuickChat12|手氣好，怪我囉!
QuickChat13|一把輸光光!
QuickChat14|輸光了，回家洗洗睡……
QuickChat15|快點行動吧，時間寶貴!
QuickChat16|各位大大，讓看看牌再加錢吧!
QuickChat17|別跟阿，我的牌很好!
QuickChat18|別偷雞，偷雞必被抓
QuickChat19|你牌技這麼好，台灣人知道嗎？
QuickChat20|衝動是魔鬼，冷靜
QuickChat21|很高興和大家一起打牌
QuickChat22|打誠信德州，不偷不搶
QuickChat23|這手牌打的不錯，贏的漂亮
QuickChat24|山水有相逢，改日再戰
QuickChat25|冤家牌，沒辦法
QuickChat26|嘿嘿，我又贏了，感謝大家
QuickChat27|你真是一個天生的演員
QuickChat28|有運氣為什麼要用技術
QuickChat29|這什麼牌阿~真是的！
QuickChat30|不囉唆，我梭哈
QuickChat31|高手就是高手，我認輸
QuickChat32|下注吧，玩大一點
QuickChat33|好膽賣走~
QuickChat34|嗨，請多指教。
QuickChat35|嘿，我可是個老狐狸
QuickChat36|財去人安樂！
QuickChat37|敢再來一局嗎？
QuickChat38|嘿~兄弟打的不錯啊。
QuickChat39|富貴險中求，跟你拼了。
QuickChat40|你以為你是毒王嗎？
QuickChat41|我研究一下下。
QuickChat42|你們的籌碼都是我的。
QuickChat43|酷是一種態度。
SendNoEmpty|不可以發送空訊息
Btn_Send|發送
Text_QuickPhrase|快捷短語
Setting|設置
Current|當前
World|世界
InputChatContent|[color=#999999]輸入聊天文字[/color]
