AverageScore|均籌
TotalRewardGold|總獎勵
PlayerNumReward|獎勵圈
RaiseBlindNext|下一局將升盲
RaiseBlindTm|升盲時間
WaitMatchBegine|等待開賽
MatchBegine|比賽即將開始，系統正在分配座位
ExitMatchTip|比賽中途離開，系統將自動幫您託管，您可在我的比賽中點選重新進入比賽。是否確認離開？
Btn_RebuyChip|重購籌碼
Btn_AddonChip|增購籌碼
Text_Pot:|底池:
Text_WaitGameBegin|等待開局中
Text_ReturnGame|繼續
Btn_Fold|棄牌
Btn_CheckOrFold|跟或棄
Btn_CallAny|跟任何注
Btn_AddBet|加註
白手起家|白手起家
牛刀小试|牛刀小試
越战越勇|越戰越勇
展露风骚|展露風騷
商业大亨|商業大亨
无可比拟|無可比擬
金融巨鳄|金融巨鱷
紫禁之巅|紫禁之巔
冠军王座|冠軍王座
GuessHandCardDesc1|下局手牌[color=#cccc00]含A[/color]，獲得投入的[color=#cccc00]6倍[/color]獎勵
GuessHandCardDesc2|下局手牌[color=#cccc00]對子[/color]，獲得投入的[color=#cccc00]15倍[/color]獎勵
GuessHandCardDesc3|下局手牌[color=#cccc00]對A[/color]，獲得投入的[color=#cccc00]200倍[/color]獎勵
GuessHandCardTip1|猜手牌下注失敗，帶上桌後剩餘籌碼不足！
GuessHandCardTip2|恭喜猜手牌命中！贏取{0}籌碼
GuessHandCardTip3|很遺憾猜手牌未命中！
Bet|投入
