Text_TextMatchExpectTime|1小時12分鐘
Text_MatchTimeTip|預計比賽時長
Text_CreateMatch|創建賽事
Text_TextInputMatchName|一個比賽
Text_TextInputMatchExplain|賽事說明(可不填)
Text_TextInputMatchTime|開賽時間
Text_MaxJoinMatch|最高參賽人數
Text_TextTime|請設置開賽時間
Text_QuickMatch1|快速賽
Text_NormalMatch1|常規賽
Text_SlowMatch1|慢速賽
Text_QuickMatch2|快速賽
Text_NormalMatch2|常規賽
Text_SlowMatch2|慢速賽
Text_BlindTable|盲注表
Text_StartScoreBoard|起始記分牌
Text_StartBlind|起始盲注
Text_RiseBlindTime|漲盲時間
Text_SingleNumber|單桌人數
Text_SixPeople1|6人
Text_SixPeople2|6人
Text_NinePeople1|9人
Text_NinePeople2|9人
Text_ChooseTimeTitle|請設置比賽開始時間
Text_Hour|時
Text_Minute|分
Text_Day|日
Text_Month|月
Text_CurrentTime|當前時間:
Text_Confirm|確定
Text_AsOfRegLevel|截至報名級別
Text_RepurchaseTimes|重購次數
Text_AllowAddPurchases|允許增購  
Text_AddPurchasesNumber|增購籌碼數
