Free|免費
People|人
Today|今天
MatchFee|報名費
SixSeat|6人桌
NineSeat|9人桌
Second|秒
OrangeRedEnvelopes|紅包 
Chip|籌碼
Enter|進入
WaitStart|[size=20][color=#4C87D9]等待開始[color][size]
SignUp|報名
CancelSignUp|取消報名
NotOpenYet|[size=20][color=#4C87D9]暫未開放[color][size]
SignUpDelay|延遲報名
SignUpDeadLine|報名截止
BeginNow|即將開始
Today|今天
Tomorrow|明天
AfterTomorrow|後天
QuitMatchTip|退賽將退還全部報名費(門票)和服務費。您確定退賽嗎？
SignUpTip|您確認報名比賽？[size=17](消耗{0}+{1}德州幣)[/size]
AllMatch|全部賽事
MyMatch|我的賽事
Text_NoMatchInfoTip1|還沒有比賽，請等待官方通知~
Text_MatchInfomation|賽事資訊
Text_Reward|獎勵
Text_MatchBeginTime1|開賽時間
Text_EntryFee1|報名費
Text_NotSignUpMatchInfo|還未報名任何比賽，趕緊去報名吧!
Text_GotoSignUp|去報名
