People|人
Today|今天
MatchFee|報名費
SixSeat|6人桌
NineSeat|9人桌
Second|秒
OrangeRedEnvelopes|紅包 
Chip|籌碼
Enter|進入
FreeMatch|免費賽
WaitStart|[size=20][color=#4C87D9]等待開始[color][size]
SignUp|報名
CancelSignUp|取消報名
NotOpenYet|[size=20][color=#4C87D9]暫未開放[color][size]
SignUpDelay|延遲報名
SignUpDeadLine|報名截止
BeginNow|即將開始
Tomorrow|明天
AfterTomorrow|後天
QuitMatchTip|退賽將退還全部報名費(門票)和服務費。您確定退賽嗎？
SignUpTip|您確認報名比賽？[size=17](消耗{0}+{1}德州幣)[/size]
RebuyTip|可重購買比賽,次數: [color=#DDBB0E]{0}[/color]次 第[color=#DDBB0E]{1}[/color]個盲注級別可用[color=#DDBB0E]{2}[/color]兌換[color=#DDBB0E]{3}[/color]籌碼
AddOnTip|可增購買比賽,次數: [color=#DDBB0E]{0}[/color]次 第[color=#DDBB0E]{1}[/color]個盲注級別可用[color=#DDBB0E]{2}[/color]兌換[color=#DDBB0E]{3}[/color]籌碼
SnowBallMatchReward|保底獎勵價值:[color=#CFB37A]{0}[/color]
SnowBallMatchTip|[size=22][color=#CFB37A]參賽人數越多，獎勵人數越多，總獎勵越高![/color][/size]
Text_Summary|概述
Text_SaiKuang|賽況
Text_MatchRank|排名
Text_Blind|盲注
Text_Reward|獎勵
Text_EntryFee|報名費用:
Text_MatchBeginTime|開賽時間:
Text_StopSignUpTm|截止報名:
Text_NumberOfEntries|參賽人數:
Text_InitScore|初始記分牌:
Text_Rebuy|重購
Text_Addon|增購
Text_Share|分享
Text_SignUp|報名
Text_Rank|名次
Text_MasterPoint|大師分
Text_RewardNote|獎勵說明
Text_CurrentMatchRank|目前排名
Text_NoMatchRankTip|暫無排名數據
Text_NumberOfEntries1|參賽人數
Text_RewardNum|獎勵人數
Text_AverageChip|平均籌碼
Text_MatchTm|比賽用時
Text_CurrentLevel1|目前級別
Text_Ante|前注
Text_NextLevel|下一級別
Text_CurrentLevel|目前級別:
Text_NoMatchInfoTip|暫無賽況數據
Text_MatchLevel|級別
Text_BlindnessTime|升盲時間
