Horn|Small Speakers
ChangeNameCard|Rename Card
TreasureBoxGold|Gold TreasureBox
TreasureBoxSilver|Silver TreasureBox
TreasureBoxCopper|Copper TreasureBox
1 Star TreasureBoxGold|One star gold chest
2 Star TreasureBoxGold|Two star gold chest
3 Star TreasureBoxGold|Three star gold chest
4 Star TreasureBoxGold|Four star gold chest
5 Star TreasureBoxGold|Five star gold chest
1 Star TreasureBoxSilver|One star silver chest
2 Star TreasureBoxSilver|Two star silver chest
3 Star TreasureBoxSilver|Three star silver chest
4 Star TreasureBoxSilver|Four star silver chest
5 Star TreasureBoxSilver|Five star silver chest
1 Star TreasureBoxCopper|One star copper chest
2 Star TreasureBoxCopper|Two star copper chest
3 Star TreasureBoxCopper|Three star copper chest
4 Star TreasureBoxCopper|Four star copper chest
5 Star TreasureBoxCopper|Five star copper chest
GoldPackageTitle1|360,000 Chips
GoldPackageTitle2|860,000 Chips
GoldPackageTitle3|1.8 Million Chips
GoldPackageTitle4|5 Million Chips
GoldPackageTitle5|12 Million Chips
GoldPackageBody1|Click to get 360,000 chips
GoldPackageBody2|Click to get 860,000 chips
GoldPackageBody3|Click to get 1.8 million chips
GoldPackageBody4|Click to get 5 million chips
GoldPackageBody5|Click to get 12 million chips
GoodsVoucherTitle1|iPhoneX 256G Coupon
GoodsVoucherTitle2|Huawei P20Pro 64G Coupon
GoodsVoucherTitle3|iPadMini4 Coupon
GoodsVoucherTitle4|Beats Powerbeats3 Coupon
GoodsVoucherTitle5|Huawei charging Coupon
GoodsVoucherTitle6|100 RMB Bill Card
GoodsVoucherTitle7|OPPO R15 128G Coupon
BillingItemDiamondTitle1|300
BillingItemDiamondTitle2|600
BillingItemDiamondTitle3|1280
BillingItemDiamondTitle4|3280
BillingItemDiamondTitle5|6480
Water|Water
Orange Juice|Orange Juice
Cocktail|Cocktail
Coffee|Coffee
Mineral water|Mineral Water
Blue Cocktail|Blue Cocktail
Cold drink|Cold Drink
Milk|Milk
Beer|Beer
Summer drink|Summer Drink
Ice cream|Ice Cream
Cake|Cake
Rice|Rice
Hamburger|Hamburger
Waffle|Waffles
Noodles|Noodles
Apple|Apple
Hot dog|Hot Dog
French fries|French Fries
Doughnut|Doughnut
Zebra|Zebra
Dog|Dog
Monkey|Monkey
Chicken|Chicken
Tiger|Tiger
Horse|Horse
Cat|Cat
Cattle|Cattle
Lion|Lion
Rabbit|Rabbit
Snail|Snail
Tortoise|Tortoise
Duck|Duck
Sheep|Sheep
Parrot|Parrot
Pig|Pig
The bench|The Bench
Cup|Cup
Notebook computer|Laptop
Shovel|Shovel
Guitar|Guitar
Roll of paper|Roll Of Paper
Brain|Brain
Mobile phone|Mobile Phone
Book|Book
Skull|Skull
Pillow|Pillow
Landline|Landline
Bag|Bag
Knapsack|Backpack
Shoes|Shoes
Pink skirt|Pink Skirt
High-heeled shoes|High-heeled Shoes
Black suit|Black Suit
Red dress|Red Dress
Blue dress|Blue Dress
Blue bag|Blue Bag
Full dress|Full Dress
Leather shoes|Leather Shoes
Chinese tunic suit|Chinese Tunic Suit
Platinum ring|Platinum Ring
White Watch|White Watch
