Horn|Small speakers
ChangeNameCard|картны нэр солих
1 Star TreasureBoxGold|One star gold chest
2 Star TreasureBoxGold|Two star gold chest
3 Star TreasureBoxGold|Three star gold chest
4 Star TreasureBoxGold|Four star gold chest
5 Star TreasureBoxGold|Five star gold chest
1 Star TreasureBoxSilver|One star silver chest
2 Star TreasureBoxSilver|Two star silver chest
3 Star TreasureBoxSilver|Three star silver chest
4 Star TreasureBoxSilver|Four star silver chest
5 Star TreasureBoxSilver|Five star silver chest
1 Star TreasureBoxCopper|One star copper chest
2 Star TreasureBoxCopper|Two star copper chest
3 Star TreasureBoxCopper|Three star copper chest
4 Star TreasureBoxCopper|Four star copper chest
5 Star TreasureBoxCopper|Five star copper chest
GoldPackageTitle1|360,000 чип цүнх
GoldPackageTitle2|860,000 чип цүнх
GoldPackageTitle3|1.8 million чип цүнх
GoldPackageTitle4|5 million чип цүнх
GoldPackageTitle5|12 million чип цүнх
GoldPackageBody1|360,000 чип авахын тулд дарна уу 
GoldPackageBody2|860,000 чип авахын тулд дарна уу
GoldPackageBody3|1.8 сая чип авахын тулд дарна уу
GoldPackageBody4|5 сая чип авахын тулд дарна уу
GoldPackageBody5|12 сая чип авахын тулд дарна уу
GoodsVoucherTitle1|iPhoneX 256G купон 
GoodsVoucherTitle2|Huawei P20Pro 64G купон
GoodsVoucherTitle3|iPadMini4 купон
GoodsVoucherTitle4|Beats Powerbeats3 купон
GoodsVoucherTitle5|Huawei Зэнэглигчийн купон
GoodsVoucherTitle6|100 юань дуудлагын картны купон
GoodsVoucherTitle7|OPPO R15 128G coupon
BillingItemDiamondTitle1|3000 алмааз
BillingItemDiamondTitle2|6000 алмааз
BillingItemDiamondTitle3|12800 алмааз
BillingItemDiamondTitle4|32800 алмааз
BillingItemDiamondTitle5|64800 алмааз
Water|буцалсан ус
Orange Juice|жүржийн шүүс
Cocktail|коктейл 
Coffee|кофе 
Mineral water|рашаан 
Blue Cocktail|цэнхэр өнгөтэй коктейл
Cold drink|хүйтэн ундаа 
Milk|сүү 
Beer|шар айраг 
Summer drink|зуны ундаа
Ice cream|зайрмаг 
Cake|бялуу
Rice|цагаан будаа
Hamburger|бургер
Waffle|Ваффли 
Noodles|Гоймон
Apple|Алим
Hot dog|Хот Дог
French fries|Шарсан төмс
Doughnut|Донут
Zebra|Зибра
Dog|Нохой
Monkey|Сармагчин
Chicken|Тахиа
Tiger|Бар
Horse|морь
Cat|Муур
Cattle|Үхэр
Lion|Арслан
Rabbit|Туулай
Snail|эмгэн хумс
Tortoise|Мэлхий
Duck|Нугас
Sheep|Хонь
Parrot|тоть
Pig|гахай
The bench|сандал
Cup|Аяга
Notebook computer|компьютер
Shovel|хүрз
Guitar|гитар
Roll of paper|цаас
Brain|тархи
Mobile phone|Гар утас
Book|Ном
Skull|гавлын яс
Pillow|дэр
Landline|Суурин утас
Bag|цүнх
Knapsack|үүргэвч
Shoes|гутал
Pink skirt|ягаан даашиз
High-heeled shoes|өндөр өсгийтэй гутал
Black suit|Хар костюм
Red dress|Улаан өнгөтэй банзал
Blue dress|цэнхэр өнгөтэй банзал
Blue bag|цэнхэр цүнх
Full dress|Хувцаслалт
Leather shoes|Арьсан гутал
Chinese tunic suit|Хятад костюм
Platinum ring|Цагаан алтан бөгж
White Watch|Цагаан бугуйн цаг
White jade|Цагаан хаш
The Stone Flower|Эрдэнийн цэцэг
Gemstone rings|Эрдэнийн чулуун бөгж
Gem Necklace|Эрдэнийн зүүлт
On the ring|Бөгж
Pink Diamond|Ягаан алмааз
Ruby|улаан Эрдэнийн чулуу
Red watch|Улаан бугуйн цаг
An crown|Титэм
Gold|алт
Golden shell|Алтан Бүрхүүл
Gold ring|Алтан бөгж
The golden bird|Алтан шувуу
Blue Watch|Цэнхэр бугуйн цаг
Blue Diamond|Цэнхэр алмаз
Jade|Хаш
Pearl Ring|Сувдан бөгж
Diamonds|алмаз
Cigar|Тамхи
Smoke|утаа
Pipe|тамхины хоолой
A carton of cigars|Бүтэн тамхи
A carton of cigarettes|Нэг хайрцаг тамхи
A box of cigars|Хайрцаг тамхи
Bear|Баавгай
Dinosaur|Динозавар
Cube|Рубикийн шоо
Football|хөлбөмбөг
Yellow duck|Бяцхан шар нугас
LittlePig|Жижиг гахай
Marc jacobs|Ягаан Daisy
Chinese rose|Хятад сарнай
