TextTitle|[color=#FFFFFF,#B8D1F6]сейф[/color]
DepositTips|Хадгалсан алт нь 0 ~ байж болохгүй
DepositTips1|Та данснаасаа илүү олон чип оруулсан байна
GetoutAmountTips|Чип авах нь 0 ~ байх боломжгүй
GetoutAmountTips1|Enter more chips than safe chips
Btn_TakeChips|Чипээ авах
Btn_SaveChips|Чип хадгалах
Text_SaveChips|Чип хадгалах
Text_TakeChips|Чипээ авах
Text_YourBalance|Your balance
Text_BankBalance|Bank balance
Text_UpperTakeChips|Take chips max limit
Text_LowerTakeChips|Take chips min limit
Text_PleaseEnterTakeChipsAmount|Please enter your want chips
Text_PleaseEnterSaveChipsAmount|Please enter your want to save
Text_UpperSaveChips|Save chips max limit
Text_LowerSaveChips|Save chips min limit
