Horn|Duyuru Kartı
ChangeNameCard|İsim değiştirme kartı
1 Star TreasureBoxGold|One star gold chest
2 Star TreasureBoxGold|Two star gold chest
3 Star TreasureBoxGold|Three star gold chest
4 Star TreasureBoxGold|Four star gold chest
5 Star TreasureBoxGold|Five star gold chest
1 Star TreasureBoxSilver|One star silver chest
2 Star TreasureBoxSilver|Two star silver chest
3 Star TreasureBoxSilver|Three star silver chest
4 Star TreasureBoxSilver|Four star silver chest
5 Star TreasureBoxSilver|Five star silver chest
1 Star TreasureBoxCopper|One star copper chest
2 Star TreasureBoxCopper|Two star copper chest
3 Star TreasureBoxCopper|Three star copper chest
4 Star TreasureBoxCopper|Four star copper chest
5 Star TreasureBoxCopper|Five star copper chest
GoldPackageTitle1|360,000 çip
GoldPackageTitle2|860,000 çip
GoldPackageTitle3|1.8 Milyon çip
GoldPackageTitle4|5 Milyon çip
GoldPackageTitle5|12 Milyon çip
GoldPackageBody1|360.000 çip almak için tıklayın
GoldPackageBody2|860.000 çip almak için tıklayın
GoldPackageBody3| 1.8 milyon çip almak için tıklayın 
GoldPackageBody4|5 milyon çip almak için tıklayıns
GoldPackageBody5|12 milyon çip almak için tıklayın
GoodsVoucherTitle1|iPhoneX 256G kupon
GoodsVoucherTitle2|Huawei P20Pro 64G kupon
GoodsVoucherTitle3|iPadMini4 kupon
GoodsVoucherTitle4|Beats Powerbeats3 kupon
GoodsVoucherTitle5|Huawei charging kupon
GoodsVoucherTitle6|100 Yuan Bill kartı
GoodsVoucherTitle7|OPPO R15 128G kupon
BillingItemDiamondTitle1|300
BillingItemDiamondTitle2|600
BillingItemDiamondTitle3|1280
BillingItemDiamondTitle4|3280
BillingItemDiamondTitle5|6480
Water|Su
Orange Juice|Portakal Suyu	
Cocktail|Kokteyl
Coffee|Kahve
Mineral water|Maden Suyu
Blue Cocktail|Blue Cocktail
Cold drink|Soğuk İçecek
Milk|Süt
Beer|Bira
Summer drink|Yaz İçeceği
Ice cream|Dondurma
Cake|Kek
Rice|Pilav
Hamburger|Hamburger
Waffle|Gözleme
Noodles|Erişte
Apple|Elma
Hot dog|Sosisli Sandviç
French fries|Patates kızartması
Doughnut|Donat
Zebra|Zebra
Dog|Köpek
Monkey|Maymun
Chicken|Tavuk
Tiger|Kaplan
Horse|At
Cat|Kedi
Cattle|Sığır
Lion|Aslan
Rabbit|Tavşan
Snail|Salyangoz
Tortoise|Kaplumbağa
Duck|Ördek
Sheep|Koyun
Parrot|Papağan
Pig|Domuz
The bench|Tezgah
Cup|Fincan
Notebook computer|Dizüstü bilgisayar
Shovel|Kürek
Guitar|Gitar
Roll of paper|Kağıt tomarı
Brain|Beyin
Mobile phone|Mobil telefon
Book|Kitap
Skull|Kafatası
Pillow|Yastık
Landline|Sabit hat
Bag|Çanta
Knapsack|Sırt çantası
Shoes|Ayakkabılar
Pink skirt|Pembe etek
High-heeled shoes|Topuklu ayakkabılar
Black suit|Siyah elbise
Red dress|Kırmızı kıyafet
Blue dress|Mavi kıyafet
Blue bag|Mavi çanta
Full dress|Resmi elbise
Leather shoes|Deri ayakkabılar
Chinese tunic suit|Çin tunik elbisesi
Platinum ring|Platin yüzük
White Watch|Beyaz saat
White jade|Beyaz Yeşim Taşı
The Stone Flower|Mücevher Çiçek
Gemstone rings|Değerli taş yüzükleri
Gem Necklace|Mücevher kolye
On the ring|Yüzük üzerinde
Pink Diamond|Pembe Elmas
Ruby|Yakut
Red watch|Kırmızı saat
An crown|Bir taç
Gold|Altın
Golden shell|Altın kabuk
Gold ring|Altın yüzük
The golden bird|Altın kuş
