TextTitle|[color=#FFFFFF,#B8D1F6]Kasa[/color]
DepositTips|kaydedilen çipler 0 olamaz .
DepositTips1|Girilen çip sayısı bakiyenizi aşıyor.
GetoutAmountTips|Kullanılamayan çip miktarı 0~
GetoutAmountTips1|Kasadaki çiplerinizden daha fazla girdiniz
Btn_TakeChips|çek
Btn_SaveChips|Yatır
Text_SaveChips|Yatır
Text_TakeChips|Çek
Text_YourBalance|Bakiyeniz
Text_BankBalance|Kasadaki bakiyeniz
Text_UpperTakeChips|en fazla çekebileceğiniz
Text_LowerTakeChips|en az çekebileceğiniz
Text_PleaseEnterTakeChipsAmount|çekmek istediğiniz miktar
Text_PleaseEnterSaveChipsAmount|yatırmak istediğiniz miktar
Text_UpperSaveChips|En fazla yatırabileceğiniz
Text_LowerSaveChips|En az yatırabileceğiniz
