Exchange|Takas
NotEnoughVoucher|Yeterli kupon yok
Times| 
ShopVipTips|Şimdi {0}  dan {1} e kadar yükleyebilirsiniz, ve her 1 $ yüklemede 1 yükselme değeri elde edersiniz.
Btn_ReceivingAddress|Adres
Btn_Upgrade|Yükselt
Text_Chip|çip
Text_Consume|Tüket
Text_DoubledRemedies|Bonus çarpıldı
Text_Gift1|hediye
Text_GiftTicket|Hediye bileti
Text_GiftTicket2|Hediye bileti
Text_Level|Seviye
Text_QQ|QQ
Text_Recharge|Yükle
Text_RequiredGrowthValue|Yükselme değeri
Text_Score|Skor
Text_Score2|Skor
Text_TextPoint|Skor:
Text_ShopVipTips2|Her 1$ için yükselme değeri elde edin
Text_Trouble|Yükleme sürecinde herhangi bir  problem olursa, Lütfen müşteri servis hizmetiyle iletişime geçin WeChat:vshendezhou
Text_VIP|VIP
